document_id,title
213017,"PML induces compaction, TRF2 depletion and DNA damage signaling at telomeres and promotes their alternative lengthening."
219475,Gr-1+CD11b+ myeloid cells tip the balance of immune protection to tumor promotion in the premetastatic lung.
226488,Activin/Nodal signalling in stem cells.
236204,Distinct RNA-dependent RNA polymerases are required for RNAi triggered by double-stranded RNA versus truncated transgenes in Paramecium tetraurelia
238409,Mechanisms of Renal Cell Apoptosis Induced by Cyclosporine A: A Systematic Review of in vitro Studies
243694,Blood stem cells emerge from aortic endothelium by a novel type of cell transition
253672,"Probable person to person transmission of novel avian influenza A (H7N9) virus in Eastern China, 2013: epidemiological investigation"
263364,Genetic Variation in the Interleukin-28B Gene Is Associated with Spontaneous Clearance and Progression of Hepatitis C Virus in Moroccan Patients
266641,CD127 expression inversely correlates with FoxP3 and suppressive function of human CD4+ T reg cells
275294,Environmental factors that influence the cutaneous production of vitamin D
279052,"Genomic imprinting in development, growth, behavior and stem cells."
285794,Quantitative Detection of Hepatitis C Virus RNA by Light Cycler PCR and Comparison with Two Different PCR Assays
293661,Targeting arginine metabolism pathway to treat arginine-dependent cancers.
301838,Rank Signaling Links the Development of Invariant γδ T Cell Progenitors and Aire+ Medullary Epithelium
301866,Long-term immune deficiency after allogeneic stem cell transplantation: B-cell deficiency is associated with late infections.
306006,The stimulatory potency of T cell antigens is influenced by the formation of the immunological synapse.
306311,Control of glutamate clearance and synaptic efficacy by glial coverage of neurons.
308862,Duration of androgen suppression in the treatment of prostate cancer.
313394,A Functional Neuroimaging Study of Sound Localization: Visual Cortex Activity Predicts Performance in Early-Blind Individuals
313403,High-Infiltration of Tumor-Associated Macrophages Predicts Unfavorable Clinical Outcome for Node-Negative Breast Cancer
317204,"Murine Dishevelled 3 Functions in Redundant Pathways with Dishevelled 1 and 2 in Normal Cardiac Outflow Tract, Cochlea, and Neural Tube Development"
323030,"Dynamics of adherens junctions in epithelial establishment, maintenance, and remodeling"
323335,Long-term outcome of patients with asystole induced by head-up tilt test.
327319,ZINC 15 – Ligand Discovery for Everyone
335029,Condensin-mediated remodeling of the mitotic chromatin landscape in fission yeast
341324,Efficacy of the 6-month thrice-weekly regimen in the treatment of new sputum smear-positive pulmonary tuberculosis under clinical trial conditions.
343052,Curcumin attenuates inflammatory response in IL-1beta-induced human synovial fibroblasts and collagen-induced arthritis in mouse model.
344240,Loss of IGF-IEa or IGF-IEb impairs myogenic differentiation.
350542,"Antimicrobial peptide pleurocidin synergizes with antibiotics through hydroxyl radical formation and membrane damage, and exerts antibiofilm activity."
356218,Outcome of pregnancy in women with moderate or severe renal insufficiency.
364522,High-mobility group box-1 protein induces osteogenic phenotype changes in aortic valve interstitial cells.
365896,"RiboSys, a high-resolution, quantitative approach to measure the in vivo kinetics of pre-mRNA splicing and 3'-end processing in Saccharomyces cerevisiae."
368506,Generation of mice with a conditional allele for the p75(NTR) neurotrophin receptor gene.
371289,A Triple-Stain Flow Cytometric Method to Assess Plasma- and Acrosome-Membrane Integrity of Cryopreserved Bovine Sperm Immediately after Thawing in Presence of Egg-Yolk Particles1
374902,Universal voluntary HIV testing with immediate antiretroviral therapy as a strategy for elimination of HIV transmission: a mathematical model.
380526,Common variants in DGKK are strongly associated with risk of hypospadias
381602,Neutrophils Suppress Intraluminal NK Cell-Mediated Tumor Cell Clearance and Enhance Extravasation of Disseminated Carcinoma Cells.
393001,High Km soluble 5'-nucleotidase from human placenta. Properties and allosteric regulation by IMP and ATP.
406733,Histones are incorporated in trans during reassembly of the yeast PHO5 promoter.
409280,National study of physician awareness and adherence to cardiovascular disease prevention guidelines.
410286,TECHNICAL ADVANCE Floral dip: a simplified method for Agrobacterium-mediated
418246,Pathway connectivity and signaling coordination in the yeast stress-activated signaling network
427082,Premigratory and migratory neural crest cells are multipotent in vivo.
427865,Implementing the ESHRE 'poor responder' criteria in research studies: methodological implications.
432261,Generation of gene-edited rats by delivery of CRISPR/Cas9 protein and donor DNA into intact zygotes using electroporation
435529,Uridylation of miRNAs by HEN1 SUPPRESSOR1 in Arabidopsis
437924,"Pre-Exposure Prophylaxis to Prevent HIV Infection: Current Status, Future Opportunities and Challenges"
439670,Prepregnancy BMI and the risk of gestational diabetes: a systematic review of the literature with meta-analysis.
456304,Multiple risk behaviour: increasing socio-economic gap over time?
457630,Variations and Trends in Health Burden of Visual Impairment Due to Cataract: A Global Analysis.
461550,Multiplex genome engineering using CRISPR/Cas systems.
463309,Transformation of intact yeast cells treated with alkali cations.
463533,"Health-Related Quality of Life as Measured with EQ-5D among Populations with and without Specific Chronic Conditions: A Population-Based Survey in Shaanxi Province, China"
464511,Memory and Modularity in Cell-Fate Decision Making
469066,Lpd depletion reveals that SRF specifies radial versus tangential migration of pyramidal neurons
470625,Identification of p18 INK4c as a tumor suppressor gene in glioblastoma multiforme.
471735,Two-stage control of an oxidative stress regulon: the Escherichia coli SoxR protein triggers redox-inducible expression of the soxS regulatory gene.
471921,Air pollution and cardiovascular disease: a statement for healthcare professionals from the Expert Panel on Population and Prevention Science of the American Heart Association.
474325,Non-invasive ventilation in chronic obstructive pulmonary disease patients: helmet versus facial mask
485020,Case Management and Client Access to Health and Social Services in Outpatient Substance Abuse Treatment
493346,Evidence that the Ipl1-Sli15 (Aurora Kinase-INCENP) Complex Promotes Chromosome Bi-orientation by Altering Kinetochore-Spindle Pole Connections
496873,"CRITICAL REVIEW Cutaneous Vasculitis Update: Diagnostic Criteria,"
502591,E2F-dependent histone acetylation and recruitment of the Tip60 acetyltransferase complex to chromatin in late G1.
502797,Chemical approaches to stem cell biology and therapeutics.
503050,Genome-wide maps of chromatin state in pluripotent and lineage-committed cells
515489,Oncofetal long noncoding RNA PVT1 promotes proliferation and stem cell-like property of hepatocellular carcinoma cells by stabilizing NOP2.
516867,"Candida albicans, a distinctive fungal model for cellular aging study"
519974,"ANKTM1, a TRP-like Channel Expressed in Nociceptive Neurons, Is Activated by Cold Temperatures"
520579,Plasma vitamin D metabolites and risk of colorectal cancer in women.
544971,DNA Deamination Mediates Innate Immunity to Retroviral Infection
581832,"Global, regional, and national disability-adjusted life-years (DALYs) for 315 diseases and injuries and healthy life expectancy (HALE), 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015"
583260,Adverse drug events: database construction and in silico prediction.
596817,Genetic Tests for Ecological and Allopatric Speciation in Anoles on an Island Archipelago
597790,Deficiency and pharmacological stabilization of mast cells reduce diet-induced obesity and diabetes in mice
599582,Familial aphasic episodes: another variant of partial epilepsy with simple inheritance?
600437,Endosome-ER Contacts Control Actin Nucleation and Retromer Function through VAP-Dependent Regulation of PI4P
600808,Anaphase-Promoting Complex/Cyclosome–Dependent Proteolysis of Human Cyclin a Starts at the Beginning of Mitosis and Is Not Subject to the Spindle Assembly Checkpoint
601033,Human T Cell Leukemia Virus Reactivation with Progression of Adult T-Cell Leukemia-Lymphoma
602760,"Montelukast and fluticasone compared with salmeterol and fluticasone in protecting against asthma exacerbation in adults: one year, double blind, randomised, comparative trial."
612002,Control of assembly and function of glutamate receptors by the amino-terminal domain.
615047,Fission yeast and other yeasts as emergent models to unravel cellular aging in eukaryotes.
623486,Centrifugal elutriation as a method for isolation of large numbers of functionally intact human peripheral blood monocytes.
641459,Asthma in United States Olympic athletes who participated in the 1996 Summer Games.
641786,Relapse specific mutations in NT5C2 in childhood acute lymphoblastic leukemia
643765,Relationship between Sloan-Kettering virus expression and mouse follicular development
649951,Involvement of CB1 cannabinoid receptors in emotional behaviour
654735,Exosomal levels of miRNA-21 from cerebrospinal fluids associated with poor prognosis and tumor recurrence of glioma patients
663464,Age‐associated microRNA expression in human peripheral blood is associated with all‐cause mortality and age‐related traits
665817,Histone deacetylases (HDACs) in frontotemporal lobar degeneration.
667451,Evolution and Impact of Subclonal Mutations in Chronic Lymphocytic Leukemia
680949,The transcriptional program of sporulation in budding yeast
695938,"Grass plants bind, retain, uptake, and transport infectious prions."
696006,Innate lymphoid cells mediate influenza-induced airway hyper-reactivity independently of adaptive immunity
704526,The behaviour change wheel: A new method for characterising and designing behaviour change interventions
708425,Intermittent prophylaxis with oral truvada protects macaques from rectal SHIV infection.
711256,RNA is favourable for analysing EGFR mutations in malignant pleural effusion of lung cancer.
712078,Pharmacological correction of a defect in PPARγ signaling ameliorates disease severity in Cftr-deficient mice
712320,Visualization of volatile substances in different organelles with an atmospheric-pressure mass microscope.
718601,"Coding of Sweet, Bitter, and Umami Tastes Different Receptor Cells Sharing Similar Signaling Pathways"
719812,Green synthesis of silver nanoparticles and characterization of their inhibitory effects on AGEs formation using biophysical techniques
735130,Myosin Light Chain–activating Phosphorylation Sites Are Required for Oogenesis in Drosophila 
739734,Stages of the pathologic process in Alzheimer disease: age categories from 1 to 100 years.
750781,Coronary bypass graft patency in patients with diabetes in the Bypass Angioplasty Revascularization Investigation (BARI).
751192,A novel ATAC-seq approach reveals lineage-specific reinforcement of the open chromatin landscape via cooperation between BAF and p63
752423,"Aging, habitual exercise, and dynamic arterial compliance."
756887,A comparison of cancer screening practices in cancer survivors and in the general population: the Korean national health and nutrition examination survey (KNHANES) 2001–2007
778436,Negative effect of the transcriptional activator GAL4
790598,The Bayh–Dole Act and university research and development
791050,The relation between past exposure to fine particulate air pollution and prevalent anxiety: observational cohort study
797114,A mitochondrially targeted compound delays aging in yeast through a mechanism linking mitochondrial membrane lipid metabolism to mitochondrial redox biology☆
798152,Isolation from African Sykes' monkeys (Cercopithecus mitis) of a lentivirus related to human and simian immunodeficiency viruses.
799586,Role of the Single-Stranded DNA–Binding Protein SsbB in Pneumococcal Transformation: Maintenance of a Reservoir for Genetic Plasticity
803312,Cerebral organoids model human brain development and microcephaly
810480,Localization of a gene for partial epilepsy to chromosome 10q
825728,Metastatic colonization requires the repression of the epithelial-mesenchymal transition inducer Prrx1.
829646,A cohort study of the risk of cervical intraepithelial neoplasia grade 2 or 3 in relation to papillomavirus infection.
831167,Investigating survival prognosis of glioblastoma using evolutional properties of gene networks
834336,Compound heterozygous ZMPSTE24 mutations reduce prelamin A processing and result in a severe progeroid phenotype.
841371,Reliability of patient responses in pay for performance schemes: analysis of national General Practitioner Patient Survey data in England
849771,Impact of low alcohol verbal descriptors on perceived strength: An experimental study
854417,Transgenic Interleukin 10 Prevents Induction of Experimental Autoimmune Encephalomyelitis 
857189,Autosomal dominant immune dysregulation syndrome in humans with CTLA4 mutations
864491,Specific inhibition of cyclin-dependent kinase 4/6 by PD 0332991 and associated antitumor activity in human tumor xenografts.
878526,Neutrophils support lung colonization of metastasis-initiating breast cancer cells
881332,Effect of Previous Miscarriage on Depressive Symptoms During Subsequent Pregnancy and Postpartum in the First Baby Study
883747,"IL-1β, IL-4 and IL-12 control the fate of group 2 innate lymphoid cells in human airway inflammation in the lungs"
885056,Summary
888896,Naringenin inhibits allergen-induced airway inflammation and airway responsiveness and inhibits NF-kappaB activity in a murine model of asthma.
919007,The evolution of Fox genes and their role in development and disease
927561,Emergent structures and dynamics of cell colonies by contact inhibition of locomotion
928281,Failure of cell cleavage induces senescence in tetraploid primary cells
935034,Cell death: the significance of apoptosis.
935538,The mitochondrial RNA-binding protein GRSF1 localizes to RNA granules and is required for posttranscriptional mitochondrial gene expression.
946756,"Identification and purification of a 62,000-dalton protein that binds specifically to the polypyrimidine tract of introns."
947631,Capsule endoscopy in acute upper gastrointestinal hemorrhage: a prospective cohort study.
949309,Electroporation of Cas9 protein/sgRNA into early pronuclear zygotes generates non-mosaic mutants in the mouse.
950306,Molecular Basis for Target RNA Recognition and Cleavage by Human RISC
952111,Cancer associated fibroblasts (CAFs) in tumor microenvironment.
970012,Cold Exposure Promotes Atherosclerotic Plaque Growth and Instability via UCP1-Dependent Lipolysis
980008,Mild overexpression of MeCP2 causes a progressive neurological disorder in mice.
980196,Alcohol Sales and Risk of Serious Assault
982650,miR-375 inhibits autophagy and reduces viability of hepatocellular carcinoma cells under hypoxic conditions.
984825,Pseudouridine profiling reveals regulated mRNA pseudouridylation in yeast and human cells
991137,The descent of memory T-cell subsets
991139,Differential distribution of IL28B.rs12979860 single-nucleotide polymorphism among Egyptian healthcare workers with and without a hepatitis C virus-specific cellular immune response
994800,TCR ligand density and affinity determine peripheral induction of Foxp3 in vivo
997143,Electromagnetic interference from radio frequency identification inducing potentially hazardous incidents in critical care medical equipment.
1006165,Potent RNAi by short RNA triggers.
1022115,IL-23–responsive innate lymphoid cells are increased in inflammatory bowel disease
1031534,Scaling of Dorsal-Ventral Patterning by Embryo Size-Dependent Degradation of Spemann’s Organizer Signals
1032372,Augmenting Antitumor Immune Responses with Epigenetic Modifying Agents
1044552,Activation of proteinase-activated receptor 2 in human osteoarthritic cartilage upregulates catabolic and proinflammatory pathways capable of inducing cartilage degradation: a basic science study
1049501,Neutrophil extracellular traps enriched in oxidized mitochondrial DNA are interferogenic and contribute to lupus-like disease
1065627,Microenvironment rigidity modulates responses to the HER2 receptor tyrosine kinase inhibitor lapatinib via YAP and TAZ transcription factors.
1067605,Effective population size and patterns of molecular evolution and variation
1068106,Is emotional dysregulation part of the psychopathology of ADHD in adults?
1070920,A neural basis for melanocortin-4 receptor regulated appetite
1071991,Lymph node T cell responses predict the efficacy of live attenuated SIV vaccines
1084062,Activation of Serotonin 2C Receptors in Dopamine Neurons Inhibits Binge-like Eating in Mice
1084345,Restoration of chaperone-mediated autophagy in aging liver improves cellular maintenance and hepatic function
1102268,The Incidence and Repetition of Hospital-Treated Deliberate Self Harm: Findings from the World's First National Registry
1103795,A Common Mechanism of Cellular Death Induced by Bactericidal Antibiotics
1122198,Increased atherosclerosis in mice reconstituted with apolipoprotein E null macrophages.
1122279,Endothelium-mediated relaxation of porcine collateral-dependent arterioles is improved by exercise training.
1127562,Loss of the RhoGAP SRGP-1 promotes the clearance of dead and injured cells in Caenorhabditis elegans
1145473,Abnormalities in the myeloid progenitor compartment in Down syndrome fetal liver precede acquisition of GATA1 mutations.
1148122,Regulatory and metabolic rewiring during laboratory evolution of ethanol tolerance in E. coli
1153655,Familial risk of lymphoproliferative tumors in families of patients with chronic lymphocytic leukemia: results from the Swedish Family-Cancer Database.
1156322,Collagen/Polypropylene composite mesh biocompatibility in abdominal wall reconstruction.
1171121,Microvessel Density and Status of p53 Protein as Potential Prognostic Factors for Adjuvant Anthracycline Chemotherapy in Retrospective Analysis of Early Breast Cancer Patients Group
1173667,Ranking of elimination feasibility between malaria-endemic countries
1180972,Genetics of obesity in adult adoptees and their biological siblings.
1191830,2010 rheumatoid arthritis classification criteria: an American College of Rheumatology/European League Against Rheumatism collaborative initiative.
1192458,A role for fibroblasts in mediating the effects of tobacco-induced epithelial cell growth and invasion.
1196631,ImmTAC-redirected tumour cell killing induces and potentiates antigen cross-presentation by dendritic cells
1203035,Basal keratinocyte tetrasomy in low-grade squamous intra-epithelial lesions of the cervix is restricted to high and intermediate risk HPV infection but is not type-specific
1215116,“Rapid-Impact Interventions”: How a Policy of Integrated Control for Africa's Neglected Tropical Diseases Could Benefit the Poor
1220287,FTY720 (fingolimod) is a neuroprotective and disease-modifying agent in cellular and mouse models of Huntington disease.
1225513,Specificity Residues Determine Binding Affinity for Two-Component Signal Transduction Systems
1226452,hnRNP A1 associates with telomere ends and stimulates telomerase activity.
1227277,Rapamycin passes the torch: a new generation of mTOR inhibitors
1234098,Dynamic capsule restructuring by the main pneumococcal autolysin LytA in response to the epithelium
1241113,The mammalian Scribble polarity protein regulates epithelial cell adhesion and migration through E-cadherin
1243475,Histone acetylation and DNA demethylation of T cells result in an anaplastic large cell lymphoma-like phenotype.
1256116,YEASTRACT: providing a programmatic access to curated transcriptional regulatory associations in Saccharomyces cerevisiae through a web services interface
1259280,Mechanisms that Specify Promoter Nucleosome Location and Identity
1259359,HIV seropositivity and tuberculosis in a large general hospital in Malawi.
1263446,Determinants of neonatal mortality in Indonesia
1265945,High density mapping of the MHC identifies a shared role for HLA-DRB1*01:03 in inflammatory bowel diseases and heterozygous advantage in ulcerative colitis
1275505,High-Threshold Mechanosensitive Ion Channels Blocked by a Novel Conopeptide Mediate Pressure-Evoked Pain
1281769,"Hyperactive Neuroendocrine Secretion Causes Size, Feeding, and Metabolic Defects of C. elegans Bardet-Biedl Syndrome Mutants"
1283401,Fiji: an open-source platform for biological-image analysis
1285713,Pharmacologic characterization of a potent inhibitor of class I phosphatidylinositide 3-kinases.
1286352,Optimized CRISPR/Cas tools for efficient germline and somatic genome engineering in Drosophila.
1287809,Cost-effectiveness of 10-Year Risk Thresholds for Initiation of Statin Therapy for Primary Prevention of Cardiovascular Disease.
1292369,Biochemical Properties of Highly Neuroinvasive Prion Strains
1320137,The twin-arginine translocation (Tat) protein export pathway
1322614,New developments in the ATSAS program package for small-angle scattering data analysis
1332250,The First Myriapod Genome Sequence Reveals Conservative Arthropod Gene Content and Genome Organisation in the Centipede Strigamia maritima 
1333643,Genetic and Functional Diversification of Small RNA Pathways in Plants
1336292,Immunosuppressant FTY720 inhibits thymocyte emigration.
1338283,Validating a conceptual model for an inter-professional approach to shared decision making: a mixed methods study
1344498,Glutaminolysis activates Rag-mTORC1 signaling.
1346695,microRNA-31/factor-inhibiting hypoxia-inducible factor 1 nexus regulates keratinocyte differentiation.
1349033,Advantages of larval control for African malaria vectors: Low mobility and behavioural responsiveness of immature mosquito stages allow high effective coverage
1354567,The Arabidopsis Chromatin-Modifying Nuclear siRNA Pathway Involves a Nucleolar RNA Processing Center
1358909,Peripheral arterial disease in the elderly: The Rotterdam Study.
1360607,Antioxidants attenuate the plasma cytokine response to exercise in humans.
1365188,Relation between colonic proglucagon expression and metabolic response to oligofructose in high fat diet-fed mice.
1371440,Aurora B phosphorylates spatially distinct targets to differentially regulate the kinetochore-microtubule interface.
1373287,Prognostic importance of 6-mercaptopurine dose intensity in acute lymphoblastic leukemia.
1379127,Orai1 and STIM1 are critical for breast tumor cell migration and metastasis.
1381673,Mouse Spermatogenic Stem Cells Continually Interconvert between Equipotent Singly Isolated and Syncytial States
1383826,Pseudoknots: RNA Structures with Diverse Functions
1386103,An essential role for interferon gamma in resistance to Mycobacterium tuberculosis infection
1387104,"Malignancies, prothrombotic mutations, and the risk of venous thrombosis."
1387654,The Hippo signaling pathway restricts the oncogenic potential of an intestinal regeneration program.
1388704,The essence of SNPs.
1389264,Combination inhibition of PI3K and mTORC1 yields durable remissions in orthotopic patient-derived xenografts of HER2-positive breast cancer brain metastases
1391126,Activation of Frontal Neocortical Areas by Vocal Production in Marmosets
1398021,Familial hiatal hernia in a large five generation family confirming true autosomal dominant inheritance.
1410197,An Excitatory Loop with Astrocytes Contributes to Drive Neurons to Seizure Threshold
1412089,Diminished performance on neuropsychological testing in late life depression is correlated with microstructural white matter abnormalities.
1428830,The atypical antipsychotic olanzapine causes weight gain by targeting serotonin receptor 2C.
1428840,Case-control study of endogenous steroid hormones and endometrial cancer.
1447990,FOXO4 is necessary for neural differentiation of human embryonic stem cells.
1449692,Gestational protein restriction affects trophoblast differentiation.
1454773,"In vitro characterization of the anti-PD-1 antibody nivolumab, BMS-936558, and in vivo toxicology in non-human primates."
1456068,Combined Impact of Lifestyle-Related Factors on Total and Cause-Specific Mortality among Chinese Women: Prospective Cohort Study
1469751,Aptamer-functionalized lipid nanoparticles targeting osteoblasts as a novel RNA interference–based bone anabolic strategy
1471041,High abundance of plasma cells secreting transglutaminase 2–specific IgA autoantibodies with limited somatic hypermutation in celiac disease intestinal lesions
1472815,Alterations of white matter integrity in adults with major depressive disorder: a magnetic resonance imaging study.
1495563,[Clinical study on the therapeutic effect of acupuncture in the treatment of post-stroke depression].
1499964,30 Years of NF-κB: A Blossoming of Relevance to Human Pathobiology
1507222,Increased gene expression of brown fat uncoupling protein (UCP)1 and skeletal muscle UCP2 and UCP3 in MAC16-induced cancer cachexia.
1522336,In vitro Anti-Tumor Effects of Statins on Head and Neck Squamous Cell Carcinoma: A Systematic Review
1522647,Circulating Mitochondrial DNA in Patients in the ICU as a Marker of Mortality: Derivation and Validation
1538080,Fructosamine Is a Useful Indicator of Hyperglycaemia and Glucose Control in Clinical and Epidemiological Studies – Cross-Sectional and Longitudinal Experience from the AMORIS Cohort
1539159,Lifeact: a versatile marker to visualize F-actin
1542437,Robustness of Random Forest-based gene selection methods
1544804,Improved variant discovery through local re-alignment of short-read next-generation sequencing data using SRMA
1546650,Functional elements within the dynein microtubule-binding domain
1550937,The Transcription Factors Egr2 and Egr3 Are Essential for the Control of Inflammation and Antigen-Induced Proliferation of B and T Cells
1554348,Effect of hyperosmolality on alkaline phosphatase and stress-response protein 27 of MCF-7 breast cancer cells
1568684,The Bile Acid Chenodeoxycholic Acid Increases Human Brown Adipose Tissue Activity.
1569031,RNase H and Postreplication Repair Protect Cells from Ribonucleotides Incorporated in DNA
1574014,Selective elimination of high constitutive activity or chemokine binding in the human herpesvirus 8 encoded seven transmembrane oncogene ORF74.
1576955,An insulin-like signaling pathway affects both longevity and reproduction in Caenorhabditis elegans.
1583041,Estimating prion concentration in fluids and tissues by quantitative PMCA
1583134,Positional cloning of the APECED gene
1590744,AMP-Activated Protein Kinase: An Ubiquitous Signaling Pathway With Key Roles in the Cardiovascular System
1595617,Differentiation of trophoblast stem cells into giant cells is triggered by p57/Kip2 inhibition of CDK1 activity.
1605196,Atg5-independent autophagy regulates mitochondrial clearance and is essential for iPSC reprogramming
1605392,A mutation in Orai1 causes immune deficiency by abrogating CRAC channel function
1606628,Estimates of global prevalence of childhood underweight in 1990 and 2015.
1616661,Canonical Wnt signaling regulates organ-specific assembly and differentiation of CNS vasculature.
1617327,Bone progenitor dysfunction induces myelodysplasia and secondary leukemia
1624106,Generating diploid embryos from Xenopus tropicalis.
1630949,Oct4-Induced Pluripotency in Adult Neural Stem Cells
1631583,Getting started with yeast.
1635872,PCNA functions as a molecular platform to trigger Cdt1 destruction and prevent re-replication
1641873,Meiosis in Drosophila: seeing is believing.
1642727,Effect of physical activity on cognitive function in older adults at risk for Alzheimer disease: a randomized trial.
1649738,Variants at 6q21 implicate PRDM1 in the etiology of therapy-induced second malignancies after Hodgkin's lymphoma
1667063,Long non-coding RNA profiling of human lymphoid progenitor cells reveals transcriptional divergence of B cell and T cell lineages
1669173,The VTI family of SNARE proteins is necessary for plant viability and mediates different protein transport pathways.
1676568,CLASPs link focal adhesion-associated microtubule capture to localized exocytosis and adhesion site turnover
1684489,CHD4 Is a RanGTP-Dependent MAP that Stabilizes Microtubules and Regulates Bipolar Spindle Formation
1686881,Myocardial muscarinic receptor upregulation and normal response to isoproterenol in denervated hearts by familial amyloid polyneuropathy.
1686997,"6-phosphogluconate dehydrogenase links oxidative PPP, lipogenesis and tumor growth by inhibiting LKB1-AMPK signaling"
1695604,Plant Nuclear RNA Polymerase IV Mediates siRNA and DNA Methylation-Dependent Heterochromatin Formation
1701063,Sema3A regulates bone-mass accrual through sensory innervations
1709625,"Direct lineage reprogramming: strategies, mechanisms, and applications."
1710116,Converging Intracranial Markers of Conscious Access
1711571,Hyperglycemia is associated with increased bone mineral density and decreased trabecular bone score in elderly Japanese men: The Fujiwara-kyo osteoporosis risk in men (FORMEN) study.
1727042,Matrix Remodeling Promotes Pulmonary Hypertension through Feedback Mechanoactivation of the YAP/TAZ-miR-130/301 Circuit.
1727493,Exosomal transfer of stroma-derived miR21 confers paclitaxel resistance in ovarian cancer cells through targeting APAF1
1733337,Age-related changes in kynurenic acid production in rat brain.
1744097,The polycomb group protein Suz12 is required for embryonic stem cell differentiation.
1744752,The 1.9 A structure of a proteasome-11S activator complex and implications for proteasome-PAN/PA700 interactions.
1748921,Innate Immune and Chemically Triggered Oxidative Stress Modifies Translational Fidelity
1754001,Yeast sirtuins and the regulation of aging.
1759213,The effect of combination treatment with aliskiren and blockers of the renin-angiotensin system on hyperkalaemia and acute kidney injury: systematic review and meta-analysis
1769799,The ins and outs of DNA transfer in bacteria.
1771079,Synaptic islands defined by the territory of a single astrocyte.
1780819,Role of DNA Methylation and Epigenetic Silencing of HAND2 in Endometrial Cancer Development
1781626,"Socioeconomic factors, material inequalities, and perceived control in self-rated health: cross-sectional data from seven post-communist countries."
1782201,Integrin αvβ3/c-src “Oncogenic Unit” Promotes Anchorage-independence and Tumor Progression
1791637,Genomewide Analysis of PRC1 and PRC2 Occupancy Identifies Two Classes of Bivalent Domains
1791714,Spatiotemporal regulation of epithelial-mesenchymal transition is essential for squamous cell carcinoma metastasis.
1797622,Control of Apoptosis by Asymmetric Cell Division
1800734,CXCR2 mediates NADPH oxidase–independent neutrophil extracellular trap formation in cystic fibrosis airway inflammation
1805641,Modelling the Impact of Artemisinin Combination Therapy and Long-Acting Treatments on Malaria Transmission Intensity
1818578,Systems metabolic engineering of Escherichia coli for L-threonine production
1831916,Association Between ADHD and Obesity: A Systematic Review and Meta-Analysis.
